代码,简称,截至日期,家数,本期持股数(万股),持股占已流通A股比例(%),同上期增减(万股),持股比例(%),上期家数,明细
600456,宝钛股份,2023-12-31,4,1047.3166,2.19,245.8617,1.68,3,+展开明细
600458,时代新材,2023-12-31,2,1307.5086,1.59,-671.3177,2.4,2,+展开明细
600486,扬农化工,2023-12-31,4,2176.8885,5.36,-33.823,5.44,4,+展开明细
600488,津药药业,2023-12-31,2,824.44,0.75,-479.31,1.19,3,+展开明细
600503,华丽家族,2023-12-31,1,1239.9705,0.77,-132.06,0.86,1,+展开明细
600508,上海能源,2023-12-31,2,549.521,0.76,115.0359,0.6,2,+展开明细
600511,国药股份,2023-12-31,3,1273.7712,1.69,-839.7585,2.8,4,+展开明细
600516,方大炭素,2023-12-31,1,1508.6553,0.37,-588.62,0.52,1,+展开明细
600519,贵州茅台,2023-12-31,2,1257.7119,1.0,658.1962,0.48,1,+展开明细
600523,贵航股份,2023-12-31,1,125.9302,0.31,125.9302,0.0,0,+展开明细
600528,中铁工业,2023-12-31,1,1617.0,0.73,1617.0,0.0,0,+展开明细
