,年份,创新指数,私营企业工商注册登记户数（户）,就业人员数（万人）,居民消费价格指数((上年=100)),城镇居民人均可支配收入（元）,实际利用外资额(万美元),GDP(亿元),第二产业增加值,第三产业增加值,高等教育在校学生数(人),专利申请授权数,金融机构人民币各项贷款余额（亿元）,一般公共预算支出（亿元）,医疗卫生机构数,地区
166,2005年,0.00993939393939394,32800,330.0,102.6,12661.0,160000,1482.06,697.56,610.89,202700,1116,1772.78,108.84,84,福州市
167,2006年,0.011,37400,340.0,101.1,14206.0,66100,1656.94,785.17,685.6,216288,1430,2308.61,110.06,84,福州市
168,2007年,0.0113215083798883,40531,358.0,104.4,16642.0,170200,1974.58,917.82,852.52,233133,1687,2823.47,143.09,78,福州市
169,2008年,0.0128021978021978,46600,364.0,104.4,19009.0,100200,2284.16,1083.92,965.34,250281,2018,3205.38,178.2,77,福州市
170,2009年,0.0139010117582718,50836,365.7,99.2,20289.0,103200,2604.0,1108.19,1253.86,265682,2733,4246.14,205.09,73,福州市
171,2010年,0.0160265363128492,57375,358.0,103.2,22723.0,118500,3123.4,1401.9,1438.8,281680,4215,5231.41,262.42,85,福州市
172,2011年,0.0179144385026738,67000,374.0,104.8,26050.0,127700,3736.38,1711.19,1700.1,292678,4773,6190.73,363.3,85,福州市
173,2012年,0.0202879581151832,77500,382.0,102.2,29399.0,133900,4218.3,1917.0,1933.7,305386,5965,7054.33,410.73,103,福州市
174,2013年,0.020559585492228,79360,386.0,102.6,32265.0,143100,4678.5,2133.6,2142.63,318343,7132,8950.14,533.84,107,福州市
175,2014年,0.0210015228426396,82746,394.0,101.8,32451.0,154700,5169.16,2352.15,2401.1,320844,9008,9766.85,574.81,107,福州市
176,2015年,0.0364532019704433,148000,406.0,101.7,34982.0,167852,5618.08,2449.55,2733.83,320965,10268,11114.84,725.93,109,福州市
177,2016年,0.0222559902200489,91027,409.0,102.3,37833.0,181342,6197.64,2590.61,3114.93,317477,10740,12538.24,829.93,107,福州市
178,2017年,0.0244708737864078,100820,412.0,101.1,34982.0,201647,7103.4,2913.4,3728.8,313857,11266,13746.34,938.86,109,福州市
179,2018年,0.0275788461538462,114728,416.0,101.5,44457.0,81450,7856.81,3204.9,4157.26,319943,17855,15364.34,924.76,120,福州市
180,2019年,0.0304622596153846,126723,416.0,102.5,47920.0,94000,9392.3,3830.99,5034.84,340330,18981,17443.72,949.76,132,福州市
181,2020年,0.032562380952381,136762,420.0,102.4,49300.0,101007,10020.2,3840.77,5618.55,363738,25535,19651.44,951.4,139,福州市
182,2021年,0.0333894988066826,139902,419.0,100.6,53421.0,123000,11324.48,4289.8,6397.66,428523,29994,21484.13,925.26,144,福州市
183,2022年,0.0337965346534653,136538,404.0,102.4,55638.0,110300,12308.23,4656.9,6967.95,413386,28922,23047.71,1006.09,146,福州市
184,2000年,0.00971676300578035,10086,103.8,106.3,10813.0,103200,501.15,264.12,216.05,24846,1370,452.84,60.31,22,厦门市
